subset,dataset,variant,pruning_mode,tau,embedding_dim,dtype,n_queries,n_docs,ndcg@5,recall@1,recall@5,avg_doc_tokens,avg_doc_kb,total_doc_kb,mean_keep_ratio,storage_saving_pct
arxivqa,v1,adapter,none,,128,torch.bfloat16,500,500,0.7535,0.668,0.828,1024.0,256.0,128000.0,1.0,0.0
arxivqa,v1,linear_pruning,linear,,128,torch.bfloat16,500,500,0.7532,0.666,0.83,937.89,234.473,117236.5,0.9159,8.41
arxivqa,v1,perplexity_tau1,perplexity,1.0,128,torch.bfloat16,500,500,0.7362,0.636,0.822,493.37,123.3415,61670.75,0.4818,51.82
arxivqa,v1,perplexity_tau2,perplexity,2.0,128,torch.bfloat16,500,500,0.7415,0.65,0.816,708.86,177.216,88608.0,0.6923,30.77
arxivqa,v1,perplexity_tau3,perplexity,3.0,128,torch.bfloat16,500,500,0.7501,0.66,0.826,800.73,200.183,100091.5,0.782,21.8
docvqa,v1,adapter,none,,128,torch.bfloat16,500,500,0.4922,0.394,0.582,1024.0,256.0,128000.0,1.0,0.0
docvqa,v1,linear_pruning,linear,,128,torch.bfloat16,500,500,0.4904,0.392,0.58,928.73,232.182,116091.0,0.907,9.3
docvqa,v1,perplexity_tau1,perplexity,1.0,128,torch.bfloat16,500,500,0.4733,0.37,0.566,451.09,112.773,56386.5,0.4405,55.95
docvqa,v1,perplexity_tau2,perplexity,2.0,128,torch.bfloat16,500,500,0.4907,0.39,0.582,677.65,169.412,84706.0,0.6618,33.82
docvqa,v1,perplexity_tau3,perplexity,3.0,128,torch.bfloat16,500,500,0.4878,0.39,0.574,777.08,194.27,97135.0,0.7589,24.11
infovqa,v1,adapter,none,,128,torch.bfloat16,500,500,0.7943,0.708,0.86,1024.0,256.0,128000.0,1.0,0.0
infovqa,v1,linear_pruning,linear,,128,torch.bfloat16,500,500,0.7945,0.71,0.856,937.19,234.2985,117149.25,0.9152,8.48
infovqa,v1,perplexity_tau1,perplexity,1.0,128,torch.bfloat16,500,500,0.783,0.702,0.848,488.48,122.119,61059.5,0.477,52.3
infovqa,v1,perplexity_tau2,perplexity,2.0,128,torch.bfloat16,500,500,0.7957,0.72,0.856,705.83,176.4565,88228.25,0.6893,31.07
infovqa,v1,perplexity_tau3,perplexity,3.0,128,torch.bfloat16,500,500,0.7923,0.71,0.854,798.6,199.651,99825.5,0.7799,22.01
shiftproject,v1,adapter,none,,128,torch.bfloat16,100,1000,0.715,0.56,0.84,1024.0,256.0,256000.0,1.0,0.0
