subset,dims,n_queries,n_docs,ndcg@5,recall@1,recall@5,checkpoint
arxivqa,128,500.0,500.0,0.8306,0.764,0.888,final
arxivqa,256,500.0,500.0,0.8478,0.786,0.898,final
arxivqa,512,500.0,500.0,0.8572,0.798,0.908,final
arxivqa,1024,500.0,500.0,0.855,0.798,0.902,final
docvqa,128,500.0,500.0,0.5474,0.444,0.64,final
docvqa,256,500.0,500.0,0.5594,0.462,0.646,final
docvqa,512,500.0,500.0,0.5588,0.462,0.646,final
docvqa,1024,500.0,500.0,0.5612,0.472,0.64,final
infovqa,128,500.0,500.0,0.8842,0.82,0.934,final
infovqa,256,500.0,500.0,0.895,0.842,0.94,final
infovqa,512,500.0,500.0,0.8941,0.836,0.938,final
infovqa,1024,500.0,500.0,0.8931,0.84,0.934,final
shiftproject,128,100.0,1000.0,0.742,0.59,0.86,final
shiftproject,256,100.0,1000.0,0.7903,0.62,0.93,final
shiftproject,512,100.0,1000.0,0.796,0.62,0.93,final
shiftproject,1024,100.0,1000.0,0.8041,0.62,0.95,final
synth_ai,128,100.0,968.0,0.968,0.92,1.0,final
synth_ai,256,100.0,968.0,0.9715,0.94,0.99,final
synth_ai,512,100.0,968.0,0.9752,0.95,0.99,final
synth_ai,1024,100.0,968.0,0.9715,0.94,0.99,final
synth_energy,128,100.0,977.0,0.9317,0.88,0.97,final
synth_energy,256,100.0,977.0,0.9671,0.94,0.99,final
synth_energy,512,100.0,977.0,0.9639,0.94,0.98,final
synth_energy,1024,100.0,977.0,0.9529,0.91,0.98,final
synth_gov,128,100.0,972.0,0.9343,0.86,0.99,final
synth_gov,256,100.0,972.0,0.9423,0.87,1.0,final
synth_gov,512,100.0,972.0,0.9313,0.85,0.99,final
synth_gov,1024,100.0,972.0,0.9372,0.88,0.98,final
synth_health,128,100.0,965.0,0.9689,0.94,0.99,final
synth_health,256,100.0,965.0,0.9702,0.94,0.99,final
synth_health,512,100.0,965.0,0.9645,0.93,0.99,final
synth_health,1024,100.0,965.0,0.9702,0.95,0.99,final
tabfquad,128,280.0,70.0,0.7379,0.6821,0.7893,final
tabfquad,256,280.0,70.0,0.7568,0.7071,0.8,final
tabfquad,512,280.0,70.0,0.8168,0.75,0.8714,final
tabfquad,1024,280.0,70.0,0.8367,0.7679,0.8929,final
tatdqa,128,1663.0,277.0,0.7142,0.5785,0.8316,final
tatdqa,256,1663.0,277.0,0.7295,0.5971,0.8388,final
tatdqa,512,1663.0,277.0,0.7399,0.6127,0.8461,final
tatdqa,1024,1663.0,277.0,0.7477,0.6182,0.8569,final
AVERAGE,128,,,0.8259,0.7479,0.8893,final
AVERAGE,256,,,0.843,0.7704,0.9023,final
AVERAGE,512,,,0.8498,0.7749,0.909,final
AVERAGE,1024,,,0.853,0.7796,0.9116,final
