subset,n_queries,n_docs,ndcg@5,recall@1,recall@5,checkpoint
arxivqa,500.0,500.0,0.863,0.81,0.91,final
docvqa,500.0,500.0,0.566,0.468,0.658,final
infovqa,500.0,500.0,0.8966,0.838,0.942,final
shiftproject,100.0,1000.0,0.809,0.63,0.95,final
synth_ai,100.0,968.0,0.9754,0.94,1.0,final
synth_energy,100.0,977.0,0.9595,0.93,0.98,final
synth_gov,100.0,972.0,0.9387,0.86,0.99,final
synth_health,100.0,965.0,0.9659,0.92,1.0,final
tabfquad,280.0,70.0,0.8441,0.7857,0.8929,final
tatdqa,1663.0,277.0,0.7735,0.6578,0.8695,final
AVERAGE,,,0.8592,0.784,0.9192,final
