
subset,dims,n_queries,n_docs,ndcg@5,recall@1,recall@5,checkpoint
arxivqa,128,500.0,500.0,0.8176,0.752,0.872,final
arxivqa,256,500.0,500.0,0.8322,0.78,0.874,final
arxivqa,512,500.0,500.0,0.8418,0.784,0.892,final
arxivqa,1024,500.0,500.0,0.8462,0.792,0.892,final
docvqa,128,500.0,500.0,0.5421,0.45,0.622,final
docvqa,256,500.0,500.0,0.5588,0.47,0.638,final
docvqa,512,500.0,500.0,0.564,0.474,0.642,final
docvqa,1024,500.0,500.0,0.5675,0.482,0.644,final
infovqa,128,500.0,500.0,0.8782,0.824,0.92,final
infovqa,256,500.0,500.0,0.8885,0.844,0.928,final
infovqa,512,500.0,500.0,0.894,0.85,0.93,final
infovqa,1024,500.0,500.0,0.9034,0.87,0.932,final
shiftproject,128,100.0,1000.0,0.8617,0.74,0.97,final
shiftproject,256,100.0,1000.0,0.8875,0.79,0.96,final
shiftproject,512,100.0,1000.0,0.8881,0.77,0.98,final
shiftproject,1024,100.0,1000.0,0.9116,0.82,0.99,final
synth_ai,128,100.0,968.0,0.9906,0.98,1.0,final
synth_ai,256,100.0,968.0,0.9832,0.96,1.0,final
synth_ai,512,100.0,968.0,0.9832,0.96,1.0,final
synth_ai,1024,100.0,968.0,0.9869,0.97,1.0,final
synth_energy,128,100.0,977.0,0.9752,0.95,0.99,final
synth_energy,256,100.0,977.0,0.9702,0.94,0.99,final
synth_energy,512,100.0,977.0,0.9776,0.96,0.99,final
synth_energy,1024,100.0,977.0,0.9776,0.96,0.99,final
synth_gov,128,100.0,972.0,0.9598,0.9,1.0,final
synth_gov,256,100.0,972.0,0.9602,0.92,0.99,final
synth_gov,512,100.0,972.0,0.953,0.9,0.99,final
synth_gov,1024,100.0,972.0,0.9529,0.91,0.98,final
synth_health,128,100.0,965.0,0.9776,0.96,0.99,final
synth_health,256,100.0,965.0,0.9863,0.98,0.99,final
synth_health,512,100.0,965.0,0.9863,0.98,0.99,final
synth_health,1024,100.0,965.0,0.9826,0.97,0.99,final
tabfquad,128,280.0,70.0,0.8441,0.7857,0.8857,final
tabfquad,256,280.0,70.0,0.8739,0.8214,0.9179,final
tabfquad,512,280.0,70.0,0.8978,0.8357,0.95,final
tabfquad,1024,280.0,70.0,0.9078,0.85,0.9607,final
tatdqa,128,1663.0,277.0,0.7595,0.6464,0.8545,final
tatdqa,256,1663.0,277.0,0.7788,0.6699,0.8683,final
tatdqa,512,1663.0,277.0,0.7801,0.6735,0.8683,final
tatdqa,1024,1663.0,277.0,0.7857,0.6819,0.8743,final
biomedical_v2,128,640.0,1016.0,0.5533,0.3264,0.5809,final
biomedical_v2,256,640.0,1016.0,0.5789,0.3514,0.603,final
biomedical_v2,512,640.0,1016.0,0.5783,0.351,0.5976,final
biomedical_v2,1024,640.0,1016.0,0.5737,0.3419,0.5969,final
economics_v2,128,232.0,452.0,0.5685,0.1099,0.3016,final
economics_v2,256,232.0,452.0,0.5628,0.1294,0.3059,final
economics_v2,512,232.0,452.0,0.5422,0.1138,0.295,final
economics_v2,1024,232.0,452.0,0.5161,0.1035,0.2887,final
esg_human_v2,128,104.0,3076.0,0.3431,0.1314,0.4412,final
esg_human_v2,256,104.0,3076.0,0.387,0.1577,0.496,final
esg_human_v2,512,104.0,3076.0,0.4372,0.2513,0.5391,final
esg_human_v2,1024,104.0,3076.0,0.4375,0.2628,0.5337,final
esg_v2,128,228.0,1538.0,0.4927,0.2368,0.5404,final
esg_v2,256,228.0,1538.0,0.5225,0.2827,0.554,final
esg_v2,512,228.0,1538.0,0.5162,0.2682,0.5412,final
esg_v2,1024,228.0,1538.0,0.5178,0.2779,0.5468,final
AVERAGE,128,,,0.7546,0.628,0.7835,final
AVERAGE,256,,,0.7693,0.6497,0.7939,final
AVERAGE,512,,,0.7743,0.6551,0.8004,final
AVERAGE,1024,,,0.7762,0.6637,0.8014,final
