subset,dims,n_queries,n_docs,ndcg@5,recall@1,recall@5,checkpoint
arxivqa,128,500.0,500.0,0.8291,0.764,0.882,final
arxivqa,256,500.0,500.0,0.8567,0.792,0.91,final
arxivqa,512,500.0,500.0,0.8632,0.808,0.908,final
arxivqa,1024,500.0,500.0,0.8639,0.812,0.908,final
docvqa,128,500.0,500.0,0.5468,0.462,0.622,final
docvqa,256,500.0,500.0,0.5655,0.476,0.644,final
docvqa,512,500.0,500.0,0.5645,0.472,0.648,final
docvqa,1024,500.0,500.0,0.5628,0.468,0.648,final
infovqa,128,500.0,500.0,0.8892,0.824,0.942,final
infovqa,256,500.0,500.0,0.8943,0.832,0.944,final
infovqa,512,500.0,500.0,0.8934,0.838,0.936,final
infovqa,1024,500.0,500.0,0.8954,0.842,0.936,final
shiftproject,128,100.0,1000.0,0.7818,0.65,0.89,final
shiftproject,256,100.0,1000.0,0.8135,0.67,0.93,final
shiftproject,512,100.0,1000.0,0.839,0.71,0.94,final
shiftproject,1024,100.0,1000.0,0.8412,0.7,0.95,final
synth_ai,128,100.0,968.0,0.9621,0.93,0.99,final
synth_ai,256,100.0,968.0,0.9754,0.94,1.0,final
synth_ai,512,100.0,968.0,0.9832,0.96,1.0,final
synth_ai,1024,100.0,968.0,0.9795,0.95,1.0,final
synth_energy,128,100.0,977.0,0.946,0.91,0.98,final
synth_energy,256,100.0,977.0,0.9429,0.9,0.97,final
synth_energy,512,100.0,977.0,0.9459,0.9,0.98,final
synth_energy,1024,100.0,977.0,0.9528,0.92,0.98,final
synth_gov,128,100.0,972.0,0.9262,0.84,0.99,final
synth_gov,256,100.0,972.0,0.9416,0.88,0.99,final
synth_gov,512,100.0,972.0,0.9416,0.88,0.99,final
synth_gov,1024,100.0,972.0,0.94,0.87,0.99,final
synth_health,128,100.0,965.0,0.9568,0.89,1.0,final
synth_health,256,100.0,965.0,0.9692,0.92,1.0,final
synth_health,512,100.0,965.0,0.9585,0.9,1.0,final
synth_health,1024,100.0,965.0,0.9659,0.92,1.0,final
tabfquad,128,280.0,70.0,0.7935,0.7393,0.8357,final
tabfquad,256,280.0,70.0,0.8029,0.75,0.8464,final
tabfquad,512,280.0,70.0,0.8312,0.7607,0.8857,final
tabfquad,1024,280.0,70.0,0.8549,0.7893,0.9071,final
tatdqa,128,1663.0,277.0,0.7373,0.5941,0.8599,final
tatdqa,256,1663.0,277.0,0.7547,0.6272,0.8623,final
tatdqa,512,1663.0,277.0,0.7678,0.6494,0.8683,final
tatdqa,1024,1663.0,277.0,0.7689,0.6476,0.8695,final
AVERAGE,128,,,0.8369,0.7603,0.8992,final
AVERAGE,256,,,0.8517,0.7787,0.9097,final
AVERAGE,512,,,0.8588,0.7878,0.9156,final
AVERAGE,1024,,,0.8625,0.7919,0.9189,final
