subset,dims,n_queries,n_docs,ndcg@5,recall@1,recall@5,checkpoint
arxivqa,128,500.0,500.0,0.8277,0.758,0.884,final
arxivqa,256,500.0,500.0,0.8575,0.792,0.91,final
arxivqa,512,500.0,500.0,0.8667,0.812,0.912,final
arxivqa,1024,500.0,500.0,0.8676,0.812,0.916,final
docvqa,128,500.0,500.0,0.5466,0.462,0.62,final
docvqa,256,500.0,500.0,0.564,0.474,0.642,final
docvqa,512,500.0,500.0,0.5693,0.48,0.652,final
docvqa,1024,500.0,500.0,0.5704,0.482,0.654,final
infovqa,128,500.0,500.0,0.885,0.822,0.934,final
infovqa,256,500.0,500.0,0.8962,0.838,0.946,final
infovqa,512,500.0,500.0,0.8941,0.844,0.934,final
infovqa,1024,500.0,500.0,0.8934,0.838,0.938,final
shiftproject,128,100.0,1000.0,0.7793,0.63,0.9,final
shiftproject,256,100.0,1000.0,0.8029,0.64,0.93,final
shiftproject,512,100.0,1000.0,0.8217,0.68,0.93,final
shiftproject,1024,100.0,1000.0,0.8356,0.7,0.94,final
synth_ai,128,100.0,968.0,0.958,0.92,0.99,final
synth_ai,256,100.0,968.0,0.9754,0.94,1.0,final
synth_ai,512,100.0,968.0,0.9759,0.94,1.0,final
synth_ai,1024,100.0,968.0,0.9795,0.95,1.0,final
synth_energy,128,100.0,977.0,0.9386,0.89,0.98,final
synth_energy,256,100.0,977.0,0.9465,0.9,0.98,final
synth_energy,512,100.0,977.0,0.9409,0.89,0.98,final
synth_energy,1024,100.0,977.0,0.9439,0.9,0.98,final
synth_gov,128,100.0,972.0,0.9236,0.83,0.99,final
synth_gov,256,100.0,972.0,0.9404,0.87,0.99,final
synth_gov,512,100.0,972.0,0.94,0.87,0.99,final
synth_gov,1024,100.0,972.0,0.9363,0.86,0.99,final
synth_health,128,100.0,965.0,0.9642,0.91,1.0,final
synth_health,256,100.0,965.0,0.9642,0.91,1.0,final
synth_health,512,100.0,965.0,0.9617,0.91,1.0,final
synth_health,1024,100.0,965.0,0.9629,0.91,1.0,final
tabfquad,128,280.0,70.0,0.7876,0.725,0.8357,final
tabfquad,256,280.0,70.0,0.7986,0.7429,0.8429,final
tabfquad,512,280.0,70.0,0.8344,0.7643,0.8893,final
tabfquad,1024,280.0,70.0,0.8508,0.7893,0.9,final
tatdqa,128,1663.0,277.0,0.7352,0.5953,0.8533,final
tatdqa,256,1663.0,277.0,0.7544,0.6242,0.8647,final
tatdqa,512,1663.0,277.0,0.764,0.6404,0.8671,final
tatdqa,1024,1663.0,277.0,0.7673,0.6446,0.8689,final
AVERAGE,128,,,0.8346,0.7542,0.8987,final
AVERAGE,256,,,0.85,0.7731,0.9106,final
AVERAGE,512,,,0.8569,0.7831,0.9154,final
AVERAGE,1024,,,0.8608,0.7886,0.9187,final
