subset,dims,n_queries,n_docs,ndcg@5,recall@1,recall@5,checkpoint
biomedical_v2,128,640.0,1016.0,0.5025,0.2838,0.5316,ColQwen3.5-0.8B-Embedding
biomedical_v2,256,640.0,1016.0,0.5618,0.3228,0.592,ColQwen3.5-0.8B-Embedding
biomedical_v2,512,640.0,1016.0,0.5856,0.3426,0.6148,ColQwen3.5-0.8B-Embedding
biomedical_v2,1024,640.0,1016.0,0.5845,0.338,0.6149,ColQwen3.5-0.8B-Embedding
economics_v2,128,232.0,452.0,0.5174,0.0705,0.2836,ColQwen3.5-0.8B-Embedding
economics_v2,256,232.0,452.0,0.5346,0.0967,0.2939,ColQwen3.5-0.8B-Embedding
economics_v2,512,232.0,452.0,0.5187,0.0863,0.2918,ColQwen3.5-0.8B-Embedding
economics_v2,1024,232.0,452.0,0.5133,0.0754,0.2888,ColQwen3.5-0.8B-Embedding
esg_human_v2,128,104.0,3076.0,0.3108,0.1048,0.43,ColQwen3.5-0.8B-Embedding
esg_human_v2,256,104.0,3076.0,0.3596,0.1457,0.4735,ColQwen3.5-0.8B-Embedding
esg_human_v2,512,104.0,3076.0,0.3702,0.1573,0.4668,ColQwen3.5-0.8B-Embedding
esg_human_v2,1024,104.0,3076.0,0.3584,0.1788,0.4611,ColQwen3.5-0.8B-Embedding
esg_v2,128,228.0,1538.0,0.4156,0.1484,0.488,ColQwen3.5-0.8B-Embedding
esg_v2,256,228.0,1538.0,0.4395,0.1859,0.503,ColQwen3.5-0.8B-Embedding
esg_v2,512,228.0,1538.0,0.4597,0.1966,0.5235,ColQwen3.5-0.8B-Embedding
esg_v2,1024,228.0,1538.0,0.4664,0.1976,0.5247,ColQwen3.5-0.8B-Embedding
AVERAGE,128,,,0.4366,0.1519,0.4333,ColQwen3.5-0.8B-Embedding
AVERAGE,256,,,0.4739,0.1878,0.4656,ColQwen3.5-0.8B-Embedding
AVERAGE,512,,,0.4836,0.1957,0.4742,ColQwen3.5-0.8B-Embedding
AVERAGE,1024,,,0.4806,0.1974,0.4724,ColQwen3.5-0.8B-Embedding
