subset,dims,n_queries,n_docs,ndcg@5,recall@1,recall@5,checkpoint
arxivqa,128,500.0,500.0,0.8415,0.784,0.892,final
docvqa,128,500.0,500.0,0.5498,0.446,0.642,final
infovqa,128,500.0,500.0,0.8941,0.834,0.942,final
shiftproject,128,100.0,1000.0,0.8071,0.66,0.92,final
synth_ai,128,100.0,968.0,0.9815,0.96,1.0,final
synth_energy,128,100.0,977.0,0.9404,0.9,0.97,final
synth_gov,128,100.0,972.0,0.9386,0.87,0.99,final
synth_health,128,100.0,965.0,0.9678,0.93,1.0,final
tabfquad,128,280.0,70.0,0.8575,0.775,0.9214,final
tatdqa,128,1663.0,277.0,0.7674,0.6512,0.8647,final
AVERAGE,128,,,0.8546,0.781,0.9142,final
