subset,dims,n_queries,n_docs,ndcg@5,recall@1,recall@5,checkpoint
arxivqa,128,500.0,500.0,0.8167,0.748,0.876,final
arxivqa,256,500.0,500.0,0.8389,0.774,0.892,final
arxivqa,512,500.0,500.0,0.8445,0.79,0.89,final
arxivqa,1024,500.0,500.0,0.845,0.794,0.886,final
docvqa,128,500.0,500.0,0.5472,0.452,0.636,final
docvqa,256,500.0,500.0,0.5606,0.462,0.65,final
docvqa,512,500.0,500.0,0.564,0.468,0.65,final
docvqa,1024,500.0,500.0,0.5651,0.474,0.65,final
infovqa,128,500.0,500.0,0.8898,0.836,0.934,final
infovqa,256,500.0,500.0,0.8928,0.836,0.938,final
infovqa,512,500.0,500.0,0.8904,0.838,0.934,final
infovqa,1024,500.0,500.0,0.8792,0.828,0.922,final
shiftproject,128,100.0,1000.0,0.8047,0.65,0.92,final
shiftproject,256,100.0,1000.0,0.8304,0.68,0.94,final
shiftproject,512,100.0,1000.0,0.8267,0.68,0.93,final
shiftproject,1024,100.0,1000.0,0.8569,0.74,0.95,final
synth_ai,128,100.0,968.0,0.968,0.92,1.0,final
synth_ai,256,100.0,968.0,0.9692,0.92,1.0,final
synth_ai,512,100.0,968.0,0.9754,0.94,1.0,final
synth_ai,1024,100.0,968.0,0.9741,0.94,1.0,final
synth_energy,128,100.0,977.0,0.9405,0.91,0.97,final
synth_energy,256,100.0,977.0,0.9432,0.91,0.97,final
synth_energy,512,100.0,977.0,0.9471,0.91,0.98,final
synth_energy,1024,100.0,977.0,0.9475,0.91,0.98,final
synth_gov,128,100.0,972.0,0.9398,0.88,0.98,final
synth_gov,256,100.0,972.0,0.9549,0.9,1.0,final
synth_gov,512,100.0,972.0,0.9521,0.89,1.0,final
synth_gov,1024,100.0,972.0,0.9493,0.9,0.99,final
synth_health,128,100.0,965.0,0.9832,0.96,1.0,final
synth_health,256,100.0,965.0,0.9852,0.96,1.0,final
synth_health,512,100.0,965.0,0.9852,0.96,1.0,final
synth_health,1024,100.0,965.0,0.9759,0.94,1.0,final
tabfquad,128,280.0,70.0,0.7348,0.6786,0.7786,final
tabfquad,256,280.0,70.0,0.758,0.6964,0.8107,final
tabfquad,512,280.0,70.0,0.8158,0.7536,0.8679,final
tabfquad,1024,280.0,70.0,0.8424,0.7679,0.9071,final
tatdqa,128,1663.0,277.0,0.72,0.5899,0.8304,final
tatdqa,256,1663.0,277.0,0.7378,0.6091,0.8473,final
tatdqa,512,1663.0,277.0,0.7452,0.6182,0.8551,final
tatdqa,1024,1663.0,277.0,0.7515,0.6284,0.8599,final
biomedical_v2,128,640.0,1016.0,0.5302,0.3104,0.559,final
biomedical_v2,256,640.0,1016.0,0.5722,0.3352,0.5984,final
biomedical_v2,512,640.0,1016.0,0.5785,0.3404,0.5992,final
biomedical_v2,1024,640.0,1016.0,0.5749,0.3451,0.5928,final
economics_v2,128,232.0,452.0,0.5254,0.0741,0.2756,final
economics_v2,256,232.0,452.0,0.5589,0.0779,0.3018,final
economics_v2,512,232.0,452.0,0.5618,0.0759,0.3041,final
economics_v2,1024,232.0,452.0,0.5552,0.0669,0.3057,final
esg_human_v2,128,104.0,3076.0,0.4025,0.1827,0.5013,final
esg_human_v2,256,104.0,3076.0,0.4615,0.2587,0.5338,final
esg_human_v2,512,104.0,3076.0,0.4131,0.1487,0.5261,final
esg_human_v2,1024,104.0,3076.0,0.4019,0.1875,0.4894,final
esg_v2,128,228.0,1538.0,0.4625,0.1858,0.4886,final
esg_v2,256,228.0,1538.0,0.4975,0.2275,0.5259,final
esg_v2,512,228.0,1538.0,0.5076,0.2239,0.5378,final
esg_v2,1024,228.0,1538.0,0.4788,0.1908,0.5116,final
AVERAGE,128,,,0.7332,0.5984,0.7678,final
AVERAGE,256,,,0.7544,0.6176,0.7863,final
AVERAGE,512,,,0.7577,0.6169,0.791,final
AVERAGE,1024,,,0.757,0.6223,0.7889,final
