subset,dims,n_queries,n_docs,ndcg@5,recall@1,recall@5,checkpoint
arxivqa,128,500.0,500.0,0.8241,0.75,0.886,final
arxivqa,256,500.0,500.0,0.8472,0.788,0.898,final
arxivqa,512,500.0,500.0,0.8523,0.792,0.9,final
arxivqa,1024,500.0,500.0,0.8476,0.79,0.896,final
docvqa,128,500.0,500.0,0.5456,0.446,0.634,final
docvqa,256,500.0,500.0,0.5586,0.464,0.646,final
docvqa,512,500.0,500.0,0.5642,0.466,0.656,final
docvqa,1024,500.0,500.0,0.5504,0.456,0.632,final
infovqa,128,500.0,500.0,0.8892,0.834,0.934,final
infovqa,256,500.0,500.0,0.8875,0.83,0.934,final
infovqa,512,500.0,500.0,0.8902,0.834,0.938,final
infovqa,1024,500.0,500.0,0.8906,0.84,0.932,final
shiftproject,128,100.0,1000.0,0.7543,0.57,0.91,final
shiftproject,256,100.0,1000.0,0.8029,0.64,0.93,final
shiftproject,512,100.0,1000.0,0.8317,0.67,0.95,final
shiftproject,1024,100.0,1000.0,0.8347,0.68,0.95,final
synth_ai,128,100.0,968.0,0.9754,0.94,1.0,final
synth_ai,256,100.0,968.0,0.9722,0.93,1.0,final
synth_ai,512,100.0,968.0,0.9802,0.95,1.0,final
synth_ai,1024,100.0,968.0,0.9759,0.94,1.0,final
synth_energy,128,100.0,977.0,0.9532,0.94,0.97,final
synth_energy,256,100.0,977.0,0.9595,0.93,0.98,final
synth_energy,512,100.0,977.0,0.9576,0.93,0.98,final
synth_energy,1024,100.0,977.0,0.9602,0.93,0.98,final
synth_gov,128,100.0,972.0,0.9235,0.85,0.98,final
synth_gov,256,100.0,972.0,0.9358,0.87,0.99,final
synth_gov,512,100.0,972.0,0.9288,0.85,0.99,final
synth_gov,1024,100.0,972.0,0.9441,0.9,0.98,final
synth_health,128,100.0,965.0,0.9679,0.92,1.0,final
synth_health,256,100.0,965.0,0.9679,0.92,1.0,final
synth_health,512,100.0,965.0,0.9715,0.93,1.0,final
synth_health,1024,100.0,965.0,0.9715,0.93,1.0,final
tabfquad,128,280.0,70.0,0.7709,0.6929,0.8464,final
tabfquad,256,280.0,70.0,0.793,0.7357,0.8393,final
tabfquad,512,280.0,70.0,0.8416,0.7607,0.9143,final
tabfquad,1024,280.0,70.0,0.8477,0.7607,0.9214,final
tatdqa,128,1663.0,277.0,0.7268,0.5893,0.8413,final
tatdqa,256,1663.0,277.0,0.7427,0.6146,0.8479,final
tatdqa,512,1663.0,277.0,0.7505,0.6218,0.8575,final
tatdqa,1024,1663.0,277.0,0.7511,0.6206,0.8569,final
biomedical_v2,128,640.0,1016.0,0.4879,0.2754,0.5162,final
biomedical_v2,256,640.0,1016.0,0.557,0.326,0.584,final
biomedical_v2,512,640.0,1016.0,0.5636,0.3339,0.5838,final
biomedical_v2,1024,640.0,1016.0,0.5715,0.3391,0.5878,final
economics_v2,128,232.0,452.0,0.5232,0.0659,0.2792,final
economics_v2,256,232.0,452.0,0.5117,0.0672,0.2796,final
economics_v2,512,232.0,452.0,0.5182,0.0736,0.2809,final
economics_v2,1024,232.0,452.0,0.5255,0.0736,0.2862,final
esg_human_v2,128,104.0,3076.0,0.3494,0.1968,0.4126,final
esg_human_v2,256,104.0,3076.0,0.4061,0.2625,0.4712,final
esg_human_v2,512,104.0,3076.0,0.3758,0.1888,0.4712,final
esg_human_v2,1024,104.0,3076.0,0.3586,0.1465,0.4679,final
esg_v2,128,228.0,1538.0,0.4332,0.1625,0.4871,final
esg_v2,256,228.0,1538.0,0.4615,0.1919,0.5052,final
esg_v2,512,228.0,1538.0,0.4786,0.189,0.5474,final
esg_v2,1024,228.0,1538.0,0.485,0.1938,0.5446,final
AVERAGE,128,,,0.7232,0.5881,0.7641,final
AVERAGE,256,,,0.7431,0.6121,0.7789,final
AVERAGE,512,,,0.7503,0.6136,0.7907,final
AVERAGE,1024,,,0.751,0.6143,0.7882,final
