split,dims,n_queries,n_docs,recall@1,recall@5,recall@10,mrr,ndcg@5,checkpoint
single_test,128,1374,192,0.5495,0.7817,0.8624,0.654,0.6732,final
single_test,256,1374,192,0.5822,0.794,0.8734,0.6819,0.6977,final
single_test,512,1374,192,0.6077,0.8035,0.8792,0.6999,0.7142,final
single_test,1024,1374,192,0.6128,0.8035,0.8777,0.7016,0.7154,final
multi_test,128,636,509,0.2521,0.6982,0.8325,0.7639,0.6571,final
multi_test,256,636,509,0.2888,0.7614,0.8759,0.8383,0.7295,final
multi_test,512,636,509,0.3063,0.7797,0.8749,0.8707,0.7572,final
multi_test,1024,636,509,0.3103,0.7829,0.8795,0.8754,0.7633,final
ALL,128,2010,701,0.4554,0.7553,0.8529,0.6888,0.6681,final
ALL,256,2010,701,0.4894,0.7837,0.8742,0.7314,0.7078,final
ALL,512,2010,701,0.5123,0.796,0.8778,0.7539,0.7278,final
ALL,1024,2010,701,0.5171,0.797,0.8783,0.7566,0.7306,final
